technical_name,business_name,status,products,rb_datasets,api_feeds,definition
buyer_order_whpk_qty,Buyer Order Warehouse Pack Quantity EOP,APPROVED,13:Report Builder,dc_metrics,,It is the number of warehouse packs on hand this year that were ordered from the supplier. This value is shown in packs.Formula:ty_order_whpk_qty - ty_ss_order_whpk_qtyNote: This metric is the 'End of Period' value for the selected time period: For Example: ‘Friday’ for WMT weeks.
buyer_order_whpk_rtl_amt,Buyer Order Warehouse Pack Retail Amount,APPROVED,3:Cloud Feeds,,,It is the total retail value (the price at which products are sold to customers) of warehouse packs on hand this year that were ordered from the supplier. This value is expressed in dollars ($).Formula :(ty_order_whpk_qty * whpk_sell_amt) - (ty_ss_order_whpk_qty * whpk_sell_amt)
buyer_order_whpk_rtl_amt,Buyer Order Warehouse Pack Sell Amount,APPROVED,9:API Glossary;13:Report Builder,custom_datasets;dc_metrics,dc_item_measures,"It is the dollar value of warehouse packs on hand this year that were ordered from the supplier. This amount is shown in dollars ($).Formula: (order_whpk_qty × whpk_sell_amt) - (ss_order_whpk_qty × whpk_sell_amt)Additional Details:whpk_sell_amt does not include inbound freight costs or any additional DC charges. It strictly represents the value charged to the store by the warehouse for each pack.This metric reflects the value of warehouse inventory as it relates to how much is charged to the store by the warehouse, not the retail price or the supplier's cost.Note: When this metric is pulled at the Walmart weekly level, it is shown as an average (AVG), not a total sum (SUM), for the selected time period."
buyer_order_whpk_rtl_amt,Buyer Order Warehouse Pack Sell Amount - Last Year,APPROVED,5:BI Link,,dc_item_measures,"It is the dollar value of warehouse packs on hand this year that were ordered from the supplier. This amount is shown in dollars ($).Formula: (order_whpk_qty × whpk_sell_amt) - (ss_order_whpk_qty × whpk_sell_amt)Additional Details:whpk_sell_amt does not include inbound freight costs or any additional DC charges. It strictly represents the value charged to the store by the warehouse for each pack.This metric reflects the value of warehouse inventory as it relates to how much is charged to the store by the warehouse, not the retail price or the supplier's cost.Note: When this metric is pulled at the Walmart weekly level, it is shown as an average (AVG), not a total sum (SUM), for the selected time period."
buyer_order_whpk_rtl_amt,Buyer Order Warehouse Pack Sell Amount - This Year,APPROVED,5:BI Link,,dc_item_measures,"It is the dollar value of warehouse packs on hand this year that were ordered from the supplier. This amount is shown in dollars ($).Formula: (order_whpk_qty × whpk_sell_amt) - (ss_order_whpk_qty × whpk_sell_amt)Additional Details:whpk_sell_amt does not include inbound freight costs or any additional DC charges. It strictly represents the value charged to the store by the warehouse for each pack.This metric reflects the value of warehouse inventory as it relates to how much is charged to the store by the warehouse, not the retail price or the supplier's cost.Note: When this metric is pulled at the Walmart weekly level, it is shown as an average (AVG), not a total sum (SUM), for the selected time period."
buyer_order_whpk_rtl_amt,Buyer Order Warehouse Pack Sell Amount EOP,APPROVED,13:Report Builder,dc_metrics,,"It is the dollar value of warehouse packs on hand this year that were ordered from the supplier. This amount is shown in dollars ($).Formula: (order_whpk_qty × whpk_sell_amt) - (ss_order_whpk_qty × whpk_sell_amt)Additional Details:whpk_sell_amt does not include inbound freight costs or any additional DC charges. It strictly represents the value charged to the store by the warehouse for each pack.This metric reflects the value of warehouse inventory as it relates to how much is charged to the store by the warehouse, not the retail price or the supplier's cost.Note: This metric is the 'End of Period' value for the selected time period: For Example: ‘Friday’ for WMT weeks."
buyer_userid,Buyer ID,APPROVED,13:Report Builder,custom_datasets;dc_metrics;ecomm_inventory;ecomm_sales;future_valid_item_store;modular_plan_metrics;omni_otif;omni_sales;order_forecast;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp;vendor_scorecard,,This is the system assigned unique ID of the Buyer who is responsible for buying most of the items in a Fineline.
buyer_userid,Buyer User ID,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,omni_otif;purchase_order,item_attributes;item_dimensions;omni_otif;oms_po_details;otif_(decommissioned);purchase_order_line,The system assigned userid of the Buyer who is responsible for buying most of the items in a Fineline.
buyg_agnt_id,Buying Agent ID,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order,It is a unique identifier used to specify the buying agents involved in purchasing merchandise for a particular Supplier Quote. These buying agents can be a Global Procurement (GP) office or a third-party organization. The Buying Agent ID originates from the Sourcing/Imports system and helps track which agent is responsible for facilitating the purchase process for the supplier's merchandise.
buyg_region_cd,Buying Region Code,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_sales;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,item_attributes;item_dimensions,"Used for items that belong in one Buying Region. Examples: 1 - Puerto Rico, 2 - Hawaii, or 3 - Alaska. This is mainly used to differentiate between Continental US items and Puerto Rico, Hawaii or Alaska items that have the same UPC."
buyg_region_desc,Buying Region Description,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_sales;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,item_attributes;item_dimensions,"Used for items that belong in one Buying Region. Examples: 1 - Puerto Rico, 2 - Hawaii, or 3 - Alaska. This is mainly used to differentiate between Continental US items and Puerto Rico, Hawaii or Alaska items that have the same UPC."
buyr_rpt_postn_id,Buyer Reporting Position ID,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,item_attributes;item_dimensions,Represents the Walmart buyer position reporting structure.
cal_day_alpha_nbr,Calendar Day Alpha Number,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,calendar_dimensions,"A number representing the calendar day of the month (zero padded for correct lexicographical order), as in 01, 02, 03, 04, ..., 31. This value is the same for fiscal and Walmart merchandising years."
cal_dt,Calendar Date,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,calendar_dimensions,"The numeric calendar date. The calendar date is formatted for different types of calendars, such as Walmart merchandising (4/5/4), fiscal, and Gregorian calendar.Note: The 4/5/4 is a retail calendar format that ensures sales comparability between years by dividing the year into months based on 4 weeks – 5 weeks – 4 weeks format. This format ensures the same number of Saturdays and Sundays in comparable months."
cal_dt_end_ts,Calendar Date End Time,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,calendar_dimensions,"The end-of-day time for the calendar date. This date/time may be formatted for different types of calendars, such as Walmart Merchandising (4/5/4), fiscal, and calendar. Example: 2004-01-01 23:59:59:999999."
cal_dt_start_ts,Calendar Date Start Time,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,calendar_dimensions,"The beginning-of-day time for the calendar date. This date/time may be formatted for different types of calendars, such as Walmart Merchandising (4/5/4), fiscal, and calendar. Example: 200401-01 00:00:00:000000."
cal_full_yr_nbr,Calendar Full Year Number,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,calendar_dimensions,A four-digit number representing the calendar year. This number is not based on the 4/5/4 format. Example: 2007.
cal_half_cnt,Calendar Half Year Count,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,calendar_dimensions,"A sequential number assigned to each half-year period (either the first or second half of a year), starting from a fixed point in time. For example, the second half of 2007 is represented as CAL_HALF_CNT = 915.This count is used to calculate the difference between two calendar half-year periods by subtracting one CAL_HALF_CNT value from another."
cal_half_yr_nbr,Calendar Half Year Number,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,calendar_dimensions,A numeric value that indicates whether a specific date falls within the first or second half of the calendar year. This value is determined by the calendar month number (CAL_MONTH_NBR) and is not based on the 4/5/4 retail calendar or Walmart-specific week numbering systems (WM_YR_WK_NBR/WM_WEEK_NBR).1: Indicates the date is in the first half of the year (January 1 – June 30)2: Indicates the date is in the second half of the year (July 1 – December 31)
cal_half_yr_nm,Calendar Half Year Name,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,calendar_dimensions,"A name representing the calendar half year, in the country's native language and not based on the 4/5/4 calendar. The first half of the year starts January 1, and the second half of year starts July 1, for all countries. For example, if the month is April the returned calendar name could be: H1, 1st half, or 1° Semestre."
cal_mth_abbr,Calendar Month Abbreviation,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,calendar_dimensions,"The abbreviation of the calendar month, in the country's native language, such as Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec."
cal_mth_alpha_nbr,Calendar Month Alpha Number,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,calendar_dimensions,"A number representing the calendar month (zero padded for correct lexicographical order), where 01 is always January. For example, if it is April the returned value would be: 04."
cal_mth_cnt,Calendar Month Count,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,calendar_dimensions,"A sequential number assigned to each calendar month, starting from a fixed point in time and increasing by one for each subsequent month. For example, December 2007 is represented as CAL_MTH_CNT = 1295.This count is used to calculate the difference between two calendar months by subtracting one."
cal_mth_desc,Calendar Month Description,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,calendar_dimensions,"It is the full name of the calendar month corresponding to a given calendar month number (cal_month_nbr), displayed in the country's native language.Example:If the calendar month number is 04, the returned month name would be ""April""."
cal_mth_nbr,Calendar Month Number,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,calendar_dimensions,"A number representing the calendar month, where 1 is always January. This value is not based on the 4/5/4 retail calendar. For example, if it is April the returned value would be: 4."
cal_otb_mth_nbr,Calendar Open to Buy Month Number,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order;purchase_order_line,"This is the month into which this purchase is budgeted. This is a standard calendar where Jan is month 1. Financial definition of two digit month meaning when the cost of these goods we have ordered go onto our financial books. The ""Planning for Profit"" project is currently defining new rules around Open to Buy (OTB). New purchase orders (PO) will use these new rules."
cal_otb_yr_nbr,Calendar Open to Buy Year Number,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order_line,The calendar year of the purchase budget. This is a standard calendar where Jan is month 1. Financial definition of two digit year meaning when the cost of these goods we have ordered go onto our financial books.
cal_otb_yr_nbr,Open to Buy Year,APPROVED,3:Cloud Feeds;9:API Glossary,,purchase_order,"The calendar year of the purchase budget.This is a standard calendar where January is month 1. Financial definition of two digit year meaning when the cost of these goods we have ordered go onto our financial books. The ""Planning for Profit"" project is currently defining new rules around Open to Buy (OTB). New purchase orders (PO) will use these new rules."
cal_qtr_cnt,Calculated Quarter Count,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,calendar_dimensions,"A numeric value (1, 2, 3, or 4) that represents the calendar quarter of a given date. This value is determined by the calendar month number (CAL_MONTH_NBR), not by the 4/5/4 retail calendar or Walmart-specific week numbering systems (WM_YR_WK_NBR / WM_WEEK_NBR)."
cal_qtr_desc,Calendar Quarter Description,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,calendar_dimensions,"A name representing the calendar quarter, in the country's native language and not based on the 4/5/4 calendar. Example: Q1, Q2, Q3, Q4."
cal_qtr_nbr,Calculated Quarter Number,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,calendar_dimensions,"A sequential number assigned to each calendar quarter, starting from a fixed point in time, and increasing by one for each subsequent quarter. For example, Q1 of 2007 is represented as CAL_QTR_CNT = 428.This count is used to easily calculate the difference between two calendar quarters by subtracting one CAL_QTR_CNT value from another."
cal_wk_cnt,Calendar Week Count,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,calendar_dimensions,"A sequential number assigned to each calendar week, starting from a fixed point in time and increasing by one for each subsequent week. For example, Week 01 of 2007 is represented as CAL_WK_CNT = 5583.This count is used to calculate the difference between two calendar weeks by subtracting one CAL_WK_CNT value from another."
cal_wk_day_abbr,Calendar Weekday Abbreviated,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,calendar_dimensions,"An abbreviated calendar day of the week, in the country's native language (such as: Mon, Tue, Wed, etc.). For example, if the day of the week number is 1, the day of the week would be Sunday and the return would be: Sun."
cal_wk_day_nbr,Calendar Weekday Number,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,calendar_dimensions,"A number indicating the calendar day of the week, beginning with Sunday (1) and ending with Saturday (7). For example, if the day of the week is Wednesday the return would be: 4."
cal_wk_day_nm,Calendar Day of the Week Name,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,calendar_dimensions,"The calendar day of the week name, in the country's native language. Such as: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday."
cal_wk_nbr,Calendar Week Number,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,calendar_dimensions,"A number representing the calendar week for this date (as in 1, 2, 3, 12, ... 52, etc.). Week 1 starts on the first day of January. The week may not contain a full 7 days. For example, if it is the first week of February the return would be: 5."
cal_wk_nm,Calendar Week Name,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,calendar_dimensions,"The name for the calendar week, in the country's native language (such as: Week 1, Week 2, ...Week 52). Week 1 starts the first day of January. For example, if it is the first week of February the return could be: Week 5."
